encore 3291215,ADVERB,HAS_EXAMPLE
jamais 2231658,ADVERB,HAS_EXAMPLE
moment 1634728,NOUN,HAS_EXAMPLE
déjà 1608291,ADVERB,HAS_EXAMPLE
autres 1886756,ADJECTIVE
toutes 1394831,ADVERB
partie 1231969,NOUN,HAS_EXAMPLE
côté 1205963,NOUN,HAS_EXAMPLE
grande 1205440,ADJECTIVE
regard 1193304,NOUN,HAS_EXAMPLE
maison 1131135,ADJECTIVE,HAS_EXAMPLE
petite 1086196,ADJECTIVE
besoin 1062854,NOUN
raison 1013821,NOUN
façon 964108,NOUN,HAS_EXAMPLE
partir 905947,VERB,HAS_EXAMPLE
esprit 901804,NOUN
autant 886741,ADVERB,HAS_EXAMPLE
savoir 885960,NOUN
parler 880154,NOUN
visage 864146,NOUN
enfant 821172,NOUN,HAS_EXAMPLE
passer 779142,VERB,HAS_EXAMPLE
compte 751452,NOUN
nombre 734836,NOUN
donner 723315,VERB
nature 709485,ADJECTIVE,HAS_EXAMPLE
guerre 696475,NOUN,HAS_EXAMPLE
propre 682222,ADJECTIVE,HAS_EXAMPLE
année 645757,NOUN
milieu 637356,NOUN
début 597098,NOUN
simple 591503,ADJECTIVE,HAS_EXAMPLE
mêmes 595289,ADJECTIVE
groupe 566356,NOUN
action 560701,NOUN,HAS_EXAMPLE
grands 560598,ADJECTIVE
mesure 555022,NOUN
pièce 546070,NOUN,HAS_EXAMPLE
niveau 537818,NOUN,HAS_EXAMPLE
chemin 527633,NOUN,HAS_EXAMPLE
passé 527431,ADJECTIVE,HAS_EXAMPLE
espace 521817,NOUN,HAS_EXAMPLE
donné 522292,ADJECTIVE
frère 511818,NOUN,HAS_EXAMPLE
argent 508205,NOUN
retour 512637,NOUN,HAS_EXAMPLE
grâce 516930,NOUN
bouche 494640,NOUN
lettre 491306,NOUN
accord 488627,NOUN
valeur 482520,NOUN
auteur 474962,NOUN
projet 474149,NOUN
étant 473679,NOUN
centre 464681,NOUN
œuvre 461992,NOUN,HAS_EXAMPLE
écrit 448599,ADJECTIVE
sortir 445832,NOUN,HAS_EXAMPLE
langue 446515,NOUN,HAS_EXAMPLE
penser 443085,VERB,HAS_EXAMPLE
petits 444096,ADJECTIVE
scène 436679,NOUN,HAS_EXAMPLE
propos 430896,NOUN
soleil 432420,NOUN,HAS_EXAMPLE
croire 422561,VERB,HAS_EXAMPLE
droits 426489,ADJECTIVE
rester 419848,VERB,HAS_EXAMPLE
gauche 418560,ADJECTIVE,HAS_EXAMPLE
laisse 415761,NOUN
droite 407201,ADJECTIVE
école 405739,NOUN
bureau 399442,NOUN
santé 366277,NOUN,HAS_EXAMPLE
autour 361839,ADVERB
peuple 354789,NOUN,HAS_EXAMPLE
longue 356208,ADJECTIVE
parole 343445,NOUN,HAS_EXAMPLE
désir 332368,NOUN,HAS_EXAMPLE
dessus 328268,ADVERB,HAS_EXAMPLE
après 327970,ADVERB,HAS_EXAMPLE
social 327670,ADJECTIVE,HAS_EXAMPLE
voyage 325080,NOUN
ancien 319596,ADJECTIVE,HAS_EXAMPLE
chance 315705,NOUN,HAS_EXAMPLE
jeunes 316830,ADJECTIVE
entrer 310998,VERB,HAS_EXAMPLE
visite 313038,NOUN
police 307128,NOUN,HAS_EXAMPLE
pleine 307415,ADJECTIVE
étude 305891,NOUN
figure 303087,NOUN,HAS_EXAMPLE
hôtel 302092,NOUN
tomber 302176,VERB,HAS_EXAMPLE
perdre 300264,VERB,HAS_EXAMPLE
taille 295764,NOUN
unique 294470,ADJECTIVE
moyens 299223,ADJECTIVE
accès 292116,NOUN,HAS_EXAMPLE
charge 288719,NOUN,HAS_EXAMPLE
public 289550,ADJECTIVE,HAS_EXAMPLE
armée 287925,ADJECTIVE
risque 287883,NOUN,HAS_EXAMPLE
humain 286102,ADJECTIVE,HAS_EXAMPLE
pauvre 285401,ADJECTIVE,HAS_EXAMPLE
seront 283856,VERB
classe 284190,NOUN
commun 274350,ADJECTIVE,HAS_EXAMPLE
second 274489,ADJECTIVE,HAS_EXAMPLE
avenir 272624,NOUN
facile 261140,ADJECTIVE,HAS_EXAMPLE
porter 254521,NOUN
dehors 252667,ADVERB,HAS_EXAMPLE
égard 252531,NOUN,HAS_EXAMPLE
manger 250862,NOUN,HAS_EXAMPLE
vision 252258,NOUN
jardin 250800,NOUN
double 250314,ADJECTIVE,HAS_EXAMPLE
parlé 246076,ADJECTIVE
pierre 243583,NOUN,HAS_EXAMPLE
sentir 240337,VERB,HAS_EXAMPLE
demain 240126,ADVERB,HAS_EXAMPLE
montre 244104,NOUN
proche 240033,ADJECTIVE,HAS_EXAMPLE
emploi 239197,NOUN,HAS_EXAMPLE
papier 238989,NOUN
garder 236463,VERB,HAS_EXAMPLE
source 235113,NOUN
faible 234257,ADJECTIVE,HAS_EXAMPLE
servir 230796,VERB,HAS_EXAMPLE
durée 229982,NOUN
ventre 225075,NOUN
arrêt 224475,NOUN
mourir 223776,VERB,HAS_EXAMPLE
espoir 220899,NOUN
cheval 219739,NOUN
créer 215631,VERB
série 214968,NOUN
guère 214236,ADVERB,HAS_EXAMPLE
prince 209527,NOUN
preuve 209610,NOUN
rapide 207825,ADJECTIVE
bonnes 205387,ADJECTIVE
phrase 204649,NOUN
récit 203684,NOUN
permis 202616,NOUN
appris 201604,ADJECTIVE
danger 201030,NOUN
sortie 199248,NOUN
combat 199407,NOUN
notion 198463,NOUN
saison 195790,NOUN,HAS_EXAMPLE
secret 195777,ADJECTIVE,HAS_EXAMPLE
morale 195640,ADJECTIVE
ouvrir 195474,VERB,HAS_EXAMPLE
forêt 194491,NOUN
devant 194766,ADVERB,HAS_EXAMPLE
siège 193014,NOUN,HAS_EXAMPLE
sombre 191022,ADJECTIVE,HAS_EXAMPLE
veille 190892,NOUN,HAS_EXAMPLE
erreur 192154,NOUN,HAS_EXAMPLE
madame 188352,NOUN,HAS_EXAMPLE
hasard 185338,NOUN
marche 183873,NOUN
monter 183723,VERB,HAS_EXAMPLE
entier 183297,ADJECTIVE,HAS_EXAMPLE
effort 181689,NOUN,HAS_EXAMPLE
ouvert 181254,ADJECTIVE
statut 179143,NOUN
voyant 176096,ADJECTIVE
manque 175497,NOUN,HAS_EXAMPLE
faveur 174904,NOUN
telles 173180,ADJECTIVE
membre 172643,NOUN,HAS_EXAMPLE
étage 174065,NOUN,HAS_EXAMPLE
règle 172614,NOUN,HAS_EXAMPLE
palais 172120,NOUN
prison 172002,NOUN
presse 173033,NOUN,HAS_EXAMPLE
rythme 170012,NOUN
unité 169401,NOUN
prévu 168978,ADJECTIVE
dormir 168828,VERB,HAS_EXAMPLE
couple 168088,NOUN,HAS_EXAMPLE
bébé 163459,NOUN
gagner 163378,VERB,HAS_EXAMPLE
triste 163081,ADJECTIVE
boîte 154522,NOUN
tâche 153312,NOUN
belles 152016,ADJECTIVE
devoir 149963,NOUN,HAS_EXAMPLE
certes 150152,ADVERB
écran 148054,NOUN,HAS_EXAMPLE
poète 147509,NOUN
volume 146768,NOUN
civile 145554,ADJECTIVE
héros 145287,NOUN,HAS_EXAMPLE
francs 145298,ADJECTIVE
musée 145238,NOUN,HAS_EXAMPLE
aspect 144237,NOUN
léger 144023,ADJECTIVE
sauver 142080,VERB,HAS_EXAMPLE
tenter 142230,VERB,HAS_EXAMPLE
baiser 142027,NOUN
étape 141242,NOUN
profit 140671,NOUN,HAS_EXAMPLE
client 139890,NOUN,HAS_EXAMPLE
samedi 139450,NOUN
serais 138513,VERB
courir 136939,VERB,HAS_EXAMPLE
chaise 136832,NOUN
délai 136760,NOUN,HAS_EXAMPLE
touche 136427,NOUN
course 136413,NOUN
cacher 135284,ADJECTIVE
nouvel 134365,ADJECTIVE,HAS_EXAMPLE
marque 134290,NOUN
examen 133428,NOUN,HAS_EXAMPLE
prête 132565,ADJECTIVE
chasse 129544,NOUN,HAS_EXAMPLE
menace 129263,NOUN
normal 128739,ADJECTIVE
partis 128488,VERB
privé 128261,ADJECTIVE
sommet 128236,NOUN,HAS_EXAMPLE
pointe 127281,NOUN
humeur 127143,NOUN
patron 126268,NOUN,HAS_EXAMPLE
bateau 126085,ADJECTIVE
avocat 126080,NOUN
gloire 125368,NOUN,HAS_EXAMPLE
debout 125119,ADVERB
saisir 124857,VERB
malade 123756,ADJECTIVE,HAS_EXAMPLE
totale 124132,ADJECTIVE
degré 123511,NOUN
offrir 122417,VERB,HAS_EXAMPLE
charme 122023,NOUN,HAS_EXAMPLE
écart 121717,NOUN,HAS_EXAMPLE
