travail 1314733,NOUN,HAS_EXAMPLE
premier 1180392,ADJECTIVE,HAS_EXAMPLE
souvent 1129704,ADVERB,HAS_EXAMPLE
exemple 958552,NOUN
nouveau 913003,ADJECTIVE
famille 926431,NOUN
siècle 859762,NOUN,HAS_EXAMPLE
comment 840682,ADVERB,HAS_EXAMPLE
surtout 832001,ADVERB
presque 796736,ADVERB
dernier 762236,ADJECTIVE,HAS_EXAMPLE
chambre 756268,NOUN
plutôt 737225,ADVERB,HAS_EXAMPLE
trouver 692549,VERB,HAS_EXAMPLE
pouvoir 664358,NOUN,HAS_EXAMPLE
sourire 654946,NOUN
parfois 645825,ADVERB
rapport 641893,NOUN,HAS_EXAMPLE
article 623693,NOUN
époque 600590,ADJECTIVE
laisser 586073,VERB,HAS_EXAMPLE
travers 584634,NOUN
service 538817,NOUN,HAS_EXAMPLE
ensuite 517051,ADVERB
silence 512599,NOUN
demande 505494,NOUN,HAS_EXAMPLE
voiture 493340,NOUN,HAS_EXAMPLE
compris 470276,ADJECTIVE,HAS_EXAMPLE
instant 463700,ADJECTIVE
marché 445214,NOUN,HAS_EXAMPLE
certain 441833,ADJECTIVE,HAS_EXAMPLE
affaire 436507,NOUN,HAS_EXAMPLE
origine 410853,NOUN,HAS_EXAMPLE
sociale 418666,ADJECTIVE
entendu 409339,ADJECTIVE
grandes 408193,ADJECTIVE
maître 398965,NOUN
passage 388518,NOUN
plupart 388042,NOUN,HAS_EXAMPLE
pensée 389815,NOUN,HAS_EXAMPLE
endroit 381928,NOUN,HAS_EXAMPLE
départ 382650,NOUN
cuisine 367340,NOUN,HAS_EXAMPLE
trouvé 347558,ADJECTIVE
musique 336928,NOUN
seconde 335589,ADJECTIVE
justice 336580,NOUN
village 335731,NOUN
colère 332699,NOUN,HAS_EXAMPLE
moindre 328274,ADJECTIVE,HAS_EXAMPLE
juillet 328714,NOUN
bonheur 328031,NOUN,HAS_EXAMPLE
propres 325093,ADJECTIVE
semaine 323555,NOUN,HAS_EXAMPLE
mariage 323197,NOUN,HAS_EXAMPLE
domaine 322667,NOUN,HAS_EXAMPLE
région 322611,NOUN
ouvrage 316401,NOUN
culture 315321,NOUN
petites 315205,ADJECTIVE
douleur 311028,NOUN
modèle 307105,NOUN
absence 306973,NOUN
éviter 305958,VERB
devenir 299127,NOUN
heureux 292510,ADJECTIVE
moitié 292448,NOUN
contrat 289894,NOUN
environ 285494,ADVERB,HAS_EXAMPLE
janvier 283052,NOUN,HAS_EXAMPLE
montrer 283934,VERB,HAS_EXAMPLE
garçon 280571,NOUN,HAS_EXAMPLE
succès 277436,NOUN,HAS_EXAMPLE
équipe 277268,NOUN
plaisir 276363,NOUN,HAS_EXAMPLE
capable 275063,ADJECTIVE
partout 274976,ADVERB,HAS_EXAMPLE
humaine 272204,ADJECTIVE
mauvais 270603,ADJECTIVE,HAS_EXAMPLE
octobre 272657,NOUN
honneur 269672,NOUN
mission 264098,NOUN
régime 262982,NOUN,HAS_EXAMPLE
vieille 264886,ADJECTIVE
changer 262396,VERB
entrée 259478,NOUN
couleur 256267,NOUN
contact 255666,NOUN,HAS_EXAMPLE
obtenir 259498,VERB
courant 253651,ADJECTIVE
lecture 249521,NOUN,HAS_EXAMPLE
terrain 248540,NOUN,HAS_EXAMPLE
revenir 246951,VERB,HAS_EXAMPLE
gestion 244664,NOUN
quitter 242510,VERB
écrire 239937,VERB,HAS_EXAMPLE
tableau 238815,NOUN
respect 238214,NOUN
soirée 237371,NOUN
souffle 234756,NOUN
conseil 225523,NOUN
vouloir 224520,NOUN
analyse 219536,NOUN
beauté 218333,NOUN,HAS_EXAMPLE
langage 217389,NOUN,HAS_EXAMPLE
oublier 216349,VERB,HAS_EXAMPLE
maladie 219746,NOUN
animaux 216233,ADJECTIVE
science 212635,NOUN
chaleur 211274,NOUN,HAS_EXAMPLE
message 209006,NOUN
sociaux 206846,ADJECTIVE
blanche 205676,ADJECTIVE,HAS_EXAMPLE
conduit 205665,NOUN
compter 203466,VERB,HAS_EXAMPLE
cerveau 204901,NOUN
moderne 200585,ADJECTIVE
sommeil 198883,NOUN
immense 197424,ADJECTIVE
surface 191125,NOUN
anciens 188475,ADJECTIVE
recours 186565,NOUN
rentrer 185934,VERB,HAS_EXAMPLE
journal 183970,ADJECTIVE
courage 183697,NOUN,HAS_EXAMPLE
vitesse 183664,NOUN,HAS_EXAMPLE
produit 181339,NOUN
passant 181115,ADJECTIVE
dossier 180964,ADJECTIVE
numéro 180342,NOUN,HAS_EXAMPLE
hauteur 181598,NOUN,HAS_EXAMPLE
réseau 178242,NOUN
combien 175547,ADVERB,HAS_EXAMPLE
passion 175292,NOUN,HAS_EXAMPLE
appeler 174253,VERB,HAS_EXAMPLE
docteur 174523,NOUN
essayer 172291,VERB,HAS_EXAMPLE,INF
oreille 170890,NOUN
tourner 170468,VERB,HAS_EXAMPLE
disparu 170456,ADJECTIVE
prenant 169639,ADJECTIVE
profond 170392,ADJECTIVE,HAS_EXAMPLE
contenu 169386,NOUN
opinion 169060,NOUN
longues 168754,ADJECTIVE
oublié 167461,ADJECTIVE
secteur 166971,NOUN,HAS_EXAMPLE
assurer 164311,VERB,HAS_EXAMPLE
espèce 163879,NOUN
portant 163046,ADJECTIVE
procès 162957,NOUN
métier 161411,NOUN
accueil 161139,NOUN
soutien 160992,NOUN
défaut 160320,NOUN
univers 158075,NOUN
fortune 152475,NOUN,HAS_EXAMPLE
victime 152834,NOUN
couloir 150017,NOUN
séjour 149734,NOUN
choisir 148201,VERB,HAS_EXAMPLE
enfance 147721,NOUN
chargé 146881,ADJECTIVE
naturel 147930,ADJECTIVE
toucher 145408,NOUN
énorme 144285,ADJECTIVE
royaume 144729,NOUN
donnée 143515,NOUN
suivant 143178,ADJECTIVE
précis 143026,ADJECTIVE
commune 142806,ADJECTIVE
épaule 141644,NOUN
cinéma 141220,NOUN,HAS_EXAMPLE
simples 138812,ADJECTIVE
ajouter 139630,VERB
attente 136349,NOUN
machine 135084,NOUN,HAS_EXAMPLE
