avait 7749338,VERB,3PS,INFLECTED_FORM
être 6495783,NOUN
faire 4758305,VERB,HAS_EXAMPLE
aussi 4276676,ADVERB,HAS_EXAMPLE
même 3610019,ADJECTIVE,HAS_EXAMPLE
temps 3399032,NOUN,HAS_EXAMPLE
très 3051461,ADVERB
autre 2957346,ADJECTIVE,HAS_EXAMPLE
homme 2429097,NOUN,HAS_EXAMPLE
avoir 2696459,NOUN
alors 2409104,ADVERB
moins 2246342,ADVERB,HAS_EXAMPLE
monde 2129902,ADJECTIVE
ainsi 1981683,ADVERB,HAS_EXAMPLE
tête 1932512,NOUN,HAS_EXAMPLE
chose 1605162,NOUN
femme 1570736,NOUN
petit 1561395,ADJECTIVE,HAS_EXAMPLE
père 1455191,NOUN
grand 1559766,ADJECTIVE,HAS_EXAMPLE
corps 1389687,NOUN
mère 1318890,NOUN
place 1359744,NOUN
point 1378243,ADVERB,HAS_EXAMPLE
droit 1302287,ADJECTIVE,HAS_EXAMPLE
jeune 1242117,ADJECTIVE,HAS_EXAMPLE
jours 1198884,NOUN,PLURAL
effet 1172514,NOUN
cœur 1153325,NOUN
porte 1133314,NOUN
ville 1051451,NOUN
toute 981295,ADVERB
fille 947972,NOUN,HAS_EXAMPLE
aller 943500,NOUN,HAS_EXAMPLE
avons 927631,VERB,HAS_EXAMPLE
idée 923732,NOUN
seule 935307,ADJECTIVE
mieux 951331,ADVERB,HAS_EXAMPLE
mains 903857,NOUN,PLURAL
assez 903328,ADVERB,HAS_EXAMPLE
bonne 871167,ADJECTIVE
heure 858827,NOUN,HAS_EXAMPLE
cours 836528,NOUN,HAS_EXAMPLE,PLURAL
amour 831793,NOUN
terre 815759,NOUN
forme 814227,NOUN
doute 798856,NOUN,HAS_EXAMPLE
près 812460,ADVERB,HAS_EXAMPLE
peine 773037,NOUN
suite 768804,NOUN
état 741965,NOUN
enfin 721611,ADVERB,HAS_EXAMPLE
cause 707116,NOUN
force 656494,ADJECTIVE
ordre 645403,NOUN,HAS_EXAMPLE
sujet 681448,ADJECTIVE,HAS_EXAMPLE
reste 619316,NOUN,HAS_EXAMPLE
vient 594936,VERB,3PS,HAS_EXAMPLE,INFLECTED_FORM
belle 584219,ADJECTIVE
table 582035,NOUN,HAS_EXAMPLE
crois 572563,VERB,FORM_OF,IMP,INFLECTED_FORM
livre 568848,NOUN
salle 562854,NOUN,HAS_EXAMPLE
matin 561462,NOUN
donne 549915,NOUN,HAS_EXAMPLE
route 548717,NOUN
sorte 539664,NOUN
passe 564935,NOUN
objet 562639,NOUN
choix 536414,NOUN,HAS_EXAMPLE
rôle 519984,NOUN
ayant 519956,NOUN
vivre 518683,VERB,HAS_EXAMPLE
venir 510252,VERB,HAS_EXAMPLE
genre 505711,ADVERB,HAS_EXAMPLE,INFORMAL
envie 504294,NOUN
titre 503160,NOUN
train 496459,NOUN,HAS_EXAMPLE
pense 493262,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
trois 488677,NUMERAL
abord 482789,NOUN
parce 480014,PREPOSITION
juste 464447,ADJECTIVE,HAS_EXAMPLE
prend 454324,VERB,3PS,INFLECTED_FORM
image 450013,NOUN
pieds 448190,NOUN,PLURAL
telle 446523,ADJECTIVE
texte 454563,NOUN
parle 439606,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
plein 439393,ADJECTIVE,HAS_EXAMPLE
cadre 430585,NOUN,HAS_EXAMPLE
terme 428442,NOUN
vieux 408665,ADJECTIVE
êtes 386055,VERB
ligne 376684,NOUN
signe 361301,NOUN,HAS_EXAMPLE
libre 355995,ADJECTIVE,HAS_EXAMPLE
blanc 351487,ADJECTIVE,HAS_EXAMPLE
voulu 343463,PARTICIPLE
sœur 335832,NOUN,HAS_EXAMPLE
bruit 334228,NOUN
verre 329184,NOUN,HAS_EXAMPLE
café 326163,ADJECTIVE
appel 323855,NOUN
perdu 320413,ADJECTIVE
tenir 315543,VERB,HAS_EXAMPLE,INF,INFLECTED_FORM,SUBJ
août 310375,NOUN
avant 309504,ADVERB,HAS_EXAMPLE
moyen 304993,ADJECTIVE
lieux 305416,NOUN,PLURAL
jouer 303443,VERB,HAS_EXAMPLE
garde 294176,NOUN
forte 293115,ADJECTIVE
champ 290697,NOUN
carte 287691,NOUN
geste 281797,NOUN
aider 280977,VERB,HAS_EXAMPLE
coups 276757,NOUN,PLURAL
usage 275847,NOUN
avril 274695,NOUN
rouge 271052,ADJECTIVE,HAS_EXAMPLE
connu 269882,ADJECTIVE
tient 266899,VERB,3PS,INFLECTED_FORM
liste 261019,NOUN
goût 257437,NOUN,HAS_EXAMPLE
rêve 254325,NOUN
avais 253817,VERB,HAS_EXAMPLE
poser 252116,VERB,HAS_EXAMPLE
prise 251421,NOUN,HAS_EXAMPLE
haute 252929,ADJECTIVE
front 249659,NOUN
salon 247145,NOUN
faite 240302,PARTICIPLE
faute 235495,NOUN,HAS_EXAMPLE
vingt 231404,NUMERAL
roman 232543,ADJECTIVE
faits 229902,NOUN,PLURAL
large 227441,ADJECTIVE
repas 229795,NOUN
poids 229981,NOUN
delà 224721,ADVERB
biens 224180,NOUN,PLURAL
actes 223201,NOUN,PLURAL
style 223070,NOUN
rendu 220394,NOUN
reçu 219309,ADJECTIVE
crise 216204,NOUN
poste 216055,NOUN
clair 215052,ADJECTIVE,HAS_EXAMPLE
armes 217226,NOUN,PLURAL
grave 213701,ADJECTIVE
seuls 213041,ADJECTIVE
savez 205498,VERB
gorge 204195,NOUN
maman 202725,NOUN,HAS_EXAMPLE
parti 201800,ADJECTIVE
tirer 198451,VERB
foule 201172,NOUN,HAS_EXAMPLE
somme 197502,NOUN,HAS_EXAMPLE
réel 194581,ADJECTIVE
noire 193584,ADJECTIVE
passa 193632,VERB,3PS,INFLECTED_FORM
dents 192838,NOUN,PLURAL
prêt 190788,ADJECTIVE,HAS_EXAMPLE
lutte 190253,NOUN,HAS_EXAMPLE
finit 188574,VERB,3PS,FORM_OF,INFLECTED_FORM
payer 183702,VERB,HAS_EXAMPLE
suivi 183820,NOUN
allez 182039,INTERJECTION,HAS_EXAMPLE
court 181962,ADJECTIVE
saint 181859,ADJECTIVE
riche 180868,ADJECTIVE,HAS_EXAMPLE
fête 179959,NOUN,HAS_EXAMPLE
perte 178034,NOUN
comte 177485,NOUN
chien 176664,ADJECTIVE
odeur 176567,NOUN,HAS_EXAMPLE
hiver 175991,NOUN
pages 175766,NOUN,PLURAL
ombre 175107,NOUN
vraie 174089,ADJECTIVE
viens 173507,VERB,FORM_OF,IMP,INFLECTED_FORM
vente 172763,NOUN,HAS_EXAMPLE
fonds 170864,NOUN,PLURAL
douce 170286,ADJECTIVE
photo 169744,NOUN
plage 169628,NOUN
beaux 168516,ADJECTIVE
soins 168714,NOUN,PLURAL
masse 166262,NOUN,ARCHAIC
poche 166107,ADJECTIVE
doigt 165409,NOUN,HAS_EXAMPLE
reine 165354,NOUN
chaud 164954,ADJECTIVE,HAS_EXAMPLE
cité 164536,NOUN,HAS_EXAMPLE
ouest 163806,NOUN
offre 163184,NOUN,HAS_EXAMPLE
lève 163163,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
côte 162744,NOUN
quant 160650,ADVERB
types 160505,NOUN,PLURAL
utile 159564,ADJECTIVE
dites 159401,PARTICIPLE
chair 159241,NOUN
posé 159393,PARTICIPLE
notes 155999,NOUN,PLURAL
vaste 159541,ADJECTIVE
liens 153600,NOUN,PLURAL
froid 152960,ADJECTIVE
finir 153428,VERB,HAS_EXAMPLE,INF
fasse 151847,VERB,3PS,INFLECTED_FORM,SUBJ
calme 149610,ADJECTIVE
vécu 149575,ADJECTIVE,HAS_EXAMPLE
pluie 146883,NOUN,HAS_EXAMPLE
sucre 146690,NOUN
huile 146544,NOUN
venue 146155,NOUN
frais 145305,ADJECTIVE,HAS_EXAMPLE
rares 145448,ADJECTIVE,RARE
basse 144953,ADJECTIVE
voici 144374,PREPOSITION,HAS_EXAMPLE
jeter 144069,VERB,HAS_EXAMPLE
lever 143461,NOUN
votre 142824,DETERMINER,HAS_EXAMPLE
tiers 141070,ADJECTIVE
crime 140343,NOUN,HAS_EXAMPLE
vertu 139059,NOUN
arbre 138129,NOUN
haine 135154,NOUN
resta 134557,VERB,3PS,INFLECTED_FORM
neige 134189,NOUN,HAS_EXAMPLE
ouvre 132208,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
phase 131699,NOUN
donna 131385,VERB,3PS,INFLECTED_FORM
boire 129666,VERB
plats 129142,ADJECTIVE
joues 129121,NOUN,PLURAL
oncle 129096,NOUN,HAS_EXAMPLE
croit 128495,VERB,3PS,INFLECTED_FORM
longs 127331,ADJECTIVE
civil 127054,ADJECTIVE
sûre 126409,ADJECTIVE
chute 125854,NOUN,HAS_EXAMPLE
vague 125788,ADJECTIVE
tombe 125780,NOUN
morts 125028,ADJECTIVE
noirs 124932,NOUN,PLURAL
issue 123917,ADJECTIVE
