travail 1314733,NOUN,HAS_EXAMPLE
avaient 1280897,VERB
prendre 1226127,VERB,HAS_EXAMPLE
années 1192215,NOUN,PLURAL
premier 1180392,ADJECTIVE,HAS_EXAMPLE
souvent 1129704,ADVERB,HAS_EXAMPLE
enfants 1092026,NOUN,PLURAL
exemple 958552,NOUN
pouvait 986365,VERB,3PS,INFLECTED_FORM
nouveau 913003,ADJECTIVE
famille 926431,NOUN
siècle 859762,NOUN,HAS_EXAMPLE
comment 840682,ADVERB,HAS_EXAMPLE
surtout 832001,ADVERB
peuvent 838394,VERB
presque 796736,ADVERB
faisait 779027,VERB,3PS,INFLECTED_FORM
dernier 762236,ADJECTIVE,HAS_EXAMPLE
chambre 756268,NOUN
plutôt 737225,ADVERB,HAS_EXAMPLE
trouver 692549,VERB,HAS_EXAMPLE
pouvoir 664358,NOUN,HAS_EXAMPLE
sourire 654946,NOUN
parfois 645825,ADVERB
rapport 641893,NOUN,HAS_EXAMPLE
article 623693,NOUN
parents 616688,NOUN,PLURAL
époque 600590,ADJECTIVE
laisser 586073,VERB,HAS_EXAMPLE
travers 584634,NOUN
demanda 563744,VERB,3PS,INFLECTED_FORM
service 538817,INTERJECTION
minutes 536009,NOUN,PLURAL
voulait 528002,VERB,3PS,INFLECTED_FORM
ensuite 517051,ADVERB
silence 512599,NOUN
demande 505494,NOUN,HAS_EXAMPLE
voiture 493340,NOUN,HAS_EXAMPLE
cheveux 482433,NOUN,PLURAL
compris 470276,ADJECTIVE,HAS_EXAMPLE
instant 463700,ADJECTIVE
marché 445214,NOUN,HAS_EXAMPLE
lèvres 443834,NOUN,PLURAL
certain 441833,ADJECTIVE,HAS_EXAMPLE
affaire 436507,NOUN,HAS_EXAMPLE
fallait 418213,VERB,3PS,INFLECTED_FORM
faisant 415666,PARTICIPLE
origine 410853,NOUN,HAS_EXAMPLE
sociale 418666,ADJECTIVE
entendu 409339,ADJECTIVE
grandes 408193,ADJECTIVE
maître 398965,NOUN
passage 388518,NOUN
doivent 387851,VERB
plupart 388042,NOUN,HAS_EXAMPLE
pensée 389815,NOUN,HAS_EXAMPLE
membres 387411,NOUN,PLURAL
endroit 381928,NOUN,HAS_EXAMPLE
départ 382650,NOUN
cuisine 367340,NOUN,HAS_EXAMPLE
trouvé 347558,ADJECTIVE
devient 347762,VERB,3PS,INFLECTED_FORM
musique 336928,NOUN
seconde 335589,ADJECTIVE
justice 336580,NOUN
village 335731,NOUN
colère 332699,NOUN,HAS_EXAMPLE
moindre 328274,ADJECTIVE,HAS_EXAMPLE
juillet 328714,NOUN
bonheur 328031,NOUN,HAS_EXAMPLE
propres 325093,ADJECTIVE
semaine 323555,NOUN,HAS_EXAMPLE
mariage 323197,NOUN,HAS_EXAMPLE
domaine 322667,NOUN,HAS_EXAMPLE
région 322611,NOUN
ouvrage 316401,NOUN
culture 315321,NOUN
petites 315205,ADJECTIVE
douleur 311028,NOUN
regarde 309948,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
travaux 308637,NOUN,PLURAL
modèle 307105,NOUN
absence 306973,NOUN
éviter 305958,VERB
parties 303660,NOUN,PLURAL
règles 302955,NOUN,PLURAL
études 299151,NOUN,PLURAL
devenir 299127,NOUN
heureux 292510,ADJECTIVE
moitié 292448,NOUN
lettres 290503,NOUN,PLURAL
contrat 289894,NOUN
arriver 286537,VERB,HAS_EXAMPLE,INF,INFLECTED_FORM,SUBJ
environ 285494,ADVERB,HAS_EXAMPLE
janvier 283052,NOUN,HAS_EXAMPLE
paroles 282357,NOUN,PLURAL
montrer 283934,VERB,HAS_EXAMPLE
garçon 280571,NOUN,HAS_EXAMPLE
succès 277436,NOUN,HAS_EXAMPLE
équipe 277268,NOUN
plaisir 276363,NOUN,HAS_EXAMPLE
voulais 275907,VERB
capable 275063,ADJECTIVE
partout 274976,ADVERB,HAS_EXAMPLE
humaine 272204,ADJECTIVE
mauvais 270603,ADJECTIVE,HAS_EXAMPLE
octobre 272657,NOUN
honneur 269672,NOUN
mission 264098,NOUN
régime 262982,NOUN,HAS_EXAMPLE
vieille 264886,ADJECTIVE
changer 262396,VERB
regarda 262950,VERB,3PS,INFLECTED_FORM
entrée 259478,NOUN
propose 257962,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
couleur 256267,NOUN
arrivé 259499,PARTICIPLE
contact 255666,NOUN,HAS_EXAMPLE
paraît 254722,VERB,3PS,INFLECTED_FORM
obtenir 259498,VERB
laissé 254642,PARTICIPLE
courant 253651,ADJECTIVE
raisons 251411,NOUN,PLURAL
actions 248610,NOUN,PLURAL
lecture 249521,NOUN,HAS_EXAMPLE
terrain 248540,NOUN,HAS_EXAMPLE
revenir 246951,VERB,HAS_EXAMPLE
devrait 248504,VERB,3PS,INFLECTED_FORM
gestion 244664,NOUN
pièces 245499,NOUN,PLURAL
quitter 242510,VERB
groupes 243238,NOUN,PLURAL
écrire 239937,VERB,HAS_EXAMPLE
tableau 238815,NOUN
respect 238214,NOUN
soirée 237371,NOUN
souffle 234756,NOUN
sentait 232870,VERB,3PS,INFLECTED_FORM
mètres 228500,NOUN,PLURAL
conseil 225523,NOUN
valeurs 225718,NOUN,PLURAL
vouloir 224520,NOUN
côtés 221522,NOUN,PLURAL
répond 221074,VERB,3PS,INFLECTED_FORM
analyse 219536,NOUN
appelle 217855,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
beauté 218333,NOUN,HAS_EXAMPLE
langage 217389,NOUN,HAS_EXAMPLE
oublier 216349,VERB,HAS_EXAMPLE
maladie 219746,NOUN
animaux 216233,ADJECTIVE
science 212635,NOUN
chaleur 211274,NOUN,HAS_EXAMPLE
message 209006,NOUN
réussi 209340,PARTICIPLE
moments 206864,NOUN,PLURAL
restait 208137,VERB,3PS,INFLECTED_FORM
sociaux 206846,ADJECTIVE
blanche 205676,ADJECTIVE,HAS_EXAMPLE
conduit 205665,NOUN
compter 203466,VERB,HAS_EXAMPLE
cerveau 204901,NOUN
cherche 202289,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
moderne 200585,ADJECTIVE
sommeil 198883,NOUN
immense 197424,ADJECTIVE
besoins 197167,NOUN,PLURAL
mesures 195218,NOUN,PLURAL
connais 194725,VERB,FORM_OF,IMP,INFLECTED_FORM
pouvais 194289,VERB
soldats 194264,NOUN,PLURAL
surface 191125,NOUN
auteurs 190936,NOUN,PLURAL
maisons 190700,NOUN,PLURAL
projets 190021,NOUN,PLURAL
anciens 188475,ADJECTIVE
acteurs 188827,NOUN,PLURAL
frères 188132,NOUN,PLURAL
recours 186565,NOUN
passait 185835,VERB,3PS,INFLECTED_FORM
portait 185387,VERB,3PS,INFLECTED_FORM
étions 185489,VERB
