tiempo	1498128,NOUN,SINGULAR
hombre	914301,NOUN,INTERJECTION,SINGULAR
manera	758519,NOUN,SINGULAR
cabeza	712688,NOUN,SINGULAR
cuerpo	600605,NOUN,SINGULAR
verdad	592209,NOUN,INTERJECTION,SINGULAR
cuenta	546842,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
puerta	546154,NOUN,SINGULAR
dentro	493288,ADVERB,VERB
nombre	426061,NOUN,VERB,INTERJECTION,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
ciudad	423269,NOUN,SINGULAR
primer	417623,ADJECTIVE
hablar	412537,VERB
social	400272,ADJECTIVE
mirada	387680,NOUN,PARTICIPLE,SINGULAR
camino	386973,NOUN,VERB,SINGULAR
llegar	375118,VERB
muerte	367591,NOUN,SINGULAR
fuerza	361744,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
cambio	358522,NOUN,INTERJECTION,VERB,SINGULAR
tierra	339407,NOUN,PROPER NOUN,SINGULAR
pensar	339161,VERB,INF
pueblo	318583,NOUN,VERB,SINGULAR
dinero	299838,NOUN,SINGULAR
pronto	290872,ADJECTIVE,ADVERB
guerra	279867,NOUN,SINGULAR
partir	272259,VERB
estado	269488,NOUN,PARTICIPLE,SINGULAR
volver	257426,VERB
rostro	256484,NOUN,SINGULAR
padres	256260,ADJECTIVE,NOUN,PLURAL
efecto	243886,NOUN,SINGULAR
frente	237868,NOUN,SINGULAR
centro	234976,NOUN,VERB,SINGULAR
medida	231328,NOUN,PARTICIPLE,SINGULAR
fuerte	230195,ADJECTIVE,ADVERB,NOUN,SINGULAR
sangre	227732,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
pasado	221861,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
cierto	216766,ADJECTIVE,DETERMINER
grande	212198,ADJECTIVE,NOUN,SINGULAR
imagen	210122,NOUN,SINGULAR
evitar	210004,VERB
objeto	203724,NOUN,VERB,SINGULAR
vuelta	198708,NOUN,PARTICIPLE,SINGULAR
apenas	197627,ADVERB,VERB
entrar	192037,VERB
seguro	190850,ADJECTIVE,NOUN,ADVERB,VERB,SINGULAR
semana	186785,NOUN,SINGULAR
sentir	184148,VERB,NOUN,SINGULAR
cuanto	181112,PRONOUN,DETERMINER,ADVERB,NOUN,SINGULAR
humano	178426,ADJECTIVE,NOUN,VERB,SINGULAR
equipo	177142,NOUN,VERB,SINGULAR
suerte	176579,NOUN,INTERJECTION,SINGULAR
futuro	174475,ADJECTIVE,NOUN,SINGULAR
medios	172693,ADJECTIVE,NOUN,PLURAL
riesgo	170045,NOUN,SINGULAR
arriba	169713,ADVERB,INTERJECTION,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
nuevas	168734,ADJECTIVE,NOUN,PLURAL
encima	167286,ADVERB,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
modelo	165841,NOUN,VERB,SINGULAR
dejado	162773,ADJECTIVE,PARTICIPLE
juntos	160959,ADJECTIVE
nuevos	158781,ADJECTIVE
figura	155376,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
buscar	154169,VERB
cocina	152641,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
lengua	151023,NOUN,SINGULAR
origen	148965,NOUN,SINGULAR
prueba	145854,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
propia	145842,ADJECTIVE
puesto	145145,NOUN,ADJECTIVE,CONJUNCTION,PARTICIPLE,SINGULAR
comida	144414,NOUN,ADJECTIVE,PARTICIPLE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
esposa	137401,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
humana	136388,NOUN,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
enorme	135827,ADJECTIVE
cuello	134802,NOUN,SINGULAR
marido	134006,NOUN,VERB,SINGULAR
acerca	129051,ADVERB,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
