siempre	1012426,ADVERB
momento	1009983,NOUN,SINGULAR
trabajo	783196,NOUN,VERB,SINGULAR
embargo	574397,NOUN,VERB,SINGULAR
primera	564455,NOUN,ADJECTIVE,SINGULAR
persona	551911,NOUN,VERB,3PS,IMP,INFLECTED_FORM,SINGULAR
ejemplo	462878,NOUN,SINGULAR
posible	452926,ADJECTIVE
familia	427365,NOUN,SINGULAR
incluso	420723,ADJECTIVE,ADVERB
derecho	417151,ADJECTIVE,NOUN,ADVERB,SINGULAR
sentido	409658,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
sistema	382496,NOUN,SINGULAR
proceso	379770,NOUN,VERB,SINGULAR
grandes	338086,ADJECTIVE,NOUN,PLURAL
general	336254,ADJECTIVE,NOUN,SINGULAR
acuerdo	329822,NOUN,VERB,SINGULAR
palabra	292648,NOUN,SINGULAR
espacio	243050,NOUN,VERB,SINGULAR
sonrisa	240188,NOUN,SINGULAR
empresa	234535,NOUN,SINGULAR
control	233607,NOUN,SINGULAR
tampoco	226961,ADVERB
delante	223710,ADVERB
hermano	220850,NOUN,VERB,SINGULAR
estudio	212842,NOUN,VERB,SINGULAR
primero	202177,NOUN,ADJECTIVE,ADVERB,SINGULAR
segundo	190958,ADJECTIVE,NOUN,VERB,SINGULAR
segunda	188183,NOUN,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
conocer	168563,VERB
entrada	168273,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
llegado	167476,ADJECTIVE,PARTICIPLE
hermana	166868,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
mercado	161080,NOUN,PARTICIPLE,SINGULAR
cultura	160345,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
natural	159237,ADJECTIVE,NOUN,SINGULAR
aspecto	153467,NOUN,SINGULAR
calidad	150857,NOUN,SINGULAR
materia	148553,NOUN,SINGULAR
espalda	148277,NOUN,SINGULAR
especie	146229,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
memoria	140947,NOUN,SINGULAR
escuela	134729,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
cambiar	130178,VERB
destino	127505,NOUN,VERB,SINGULAR
mejores	127230,ADJECTIVE,VERB,INFLECTED_FORM,SUBJ
ventana	125673,NOUN,SINGULAR
humanos	125289,ADJECTIVE,NOUN,VERB,IMP,INFLECTED_FORM,PLURAL
capital	124992,ADJECTIVE,NOUN,SINGULAR
mensaje	115157,NOUN,SINGULAR
obtener	113957,VERB
carrera	113569,NOUN,SINGULAR
partido	112933,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
ciencia	112488,NOUN,SINGULAR
cerebro	111061,NOUN,SINGULAR
actitud	110169,NOUN,SINGULAR
iglesia	108055,NOUN,SINGULAR
cuidado	105669,INTERJECTION,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
propias	104072,ADJECTIVE
peligro	103919,NOUN,VERB,SINGULAR
llamado	103543,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
empezar	99779,VERB,INF
vestido	97929,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
