siempre	1012426,ADVERB
momento	1009983,NOUN,SINGULAR
trabajo	783196,NOUN,VERB,SINGULAR
embargo	574397,NOUN,VERB,SINGULAR
primera	564455,NOUN,ADJECTIVE,SINGULAR
persona	551911,NOUN,VERB,3PS,IMP,INFLECTED_FORM,SINGULAR
hombres	504411,NOUN,PLURAL
ejemplo	462878,NOUN,SINGULAR
posible	452926,ADJECTIVE
estaban	438731,VERB
mujeres	436465,NOUN,PLURAL
familia	427365,NOUN,SINGULAR
incluso	420723,ADJECTIVE,ADVERB
derecho	417151,ADJECTIVE,NOUN,ADVERB,SINGULAR
sentido	409658,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
hubiera	401846,VERB,3PS,INFLECTED_FORM,SUBJ
sistema	382496,NOUN,SINGULAR
proceso	379770,NOUN,VERB,SINGULAR
grandes	338086,ADJECTIVE,NOUN,PLURAL
general	336254,ADJECTIVE,NOUN,SINGULAR
acuerdo	329822,NOUN,VERB,SINGULAR
palabra	292648,NOUN,SINGULAR
hacerlo	263933,VERB,INF
podemos	261468,VERB,FORM_OF,IMP,INFLECTED_FORM,SUBJ
minutos	252813,NOUN,PLURAL
espacio	243050,NOUN,VERB,SINGULAR
sonrisa	240188,NOUN,SINGULAR
empresa	234535,NOUN,SINGULAR
tenemos	234534,VERB
control	233607,NOUN,SINGULAR
tampoco	226961,ADVERB
delante	223710,ADVERB
hermano	220850,NOUN,VERB,SINGULAR
estudio	212842,NOUN,VERB,SINGULAR
primero	202177,NOUN,ADJECTIVE,ADVERB,SINGULAR
estamos	192090,VERB
segundo	190958,ADJECTIVE,NOUN,VERB,SINGULAR
segunda	188183,NOUN,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
pudiera	184140,VERB,3PS,INFLECTED_FORM,SUBJ
llevaba	180511,VERB,3PS,INFLECTED_FORM
efectos	176819,NOUN,PLURAL
permite	169563,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
conocer	168563,VERB
entrada	168273,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
llegado	167476,ADJECTIVE,PARTICIPLE
hermana	166868,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
mercado	161080,NOUN,PARTICIPLE,SINGULAR
gracias	160988,INTERJECTION,NOUN,PLURAL
cultura	160345,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
natural	159237,ADJECTIVE,NOUN,SINGULAR
aspecto	153467,NOUN,SINGULAR
calidad	150857,NOUN,SINGULAR
resulta	150739,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
mirando	149787,VERB,INFLECTED_FORM,PRES_PART
materia	148553,NOUN,SINGULAR
espalda	148277,NOUN,SINGULAR
valores	146244,NOUN,VERB,INFLECTED_FORM,PLURAL,SUBJ
especie	146229,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
fuerzas	145256,NOUN,VERB,PLURAL
memoria	140947,NOUN,SINGULAR
hombros	140489,NOUN,PLURAL
esperar	138607,VERB,INF,INFLECTED_FORM,SUBJ
tiempos	137929,NOUN,PLURAL
escuela	134729,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
