example	2019,6755565,183564
nothing	2019,5431131,198137
country	2019,4209487,179744
control	2019,3970945,187501
problem	2019,3951175,186838
history	2019,3825173,185110
someone	2019,3620911,164806
company	2019,3213173,174286
morning	2019,3190345,166937
chapter	2019,3093468,136751
support	2019,2907985,179449
service	2019,2848522,174406
society	2019,2713193,143692
century	2019,2583706,137990
section	2019,2561092,155183
surface	2019,2532778,154370
culture	2019,2442337,123371
context	2019,2371878,110786
account	2019,2359746,169416
quality	2019,2352628,162355
brother	2019,2341515,138434
disease	2019,2327222,106100
project	2019,2314040,137431
purpose	2019,2230341,189639
percent	2019,2177196,96310
ability	2019,2146953,169250
thought	2019,2118826,171448
patient	2019,2000944,101776
product	2019,1984292,136542
husband	2019,1916832,133954
program	2019,1903434,108823
capital	2019,1898977,116584
respect	2019,1846613,172981
subject	2019,1818069,168021
network	2019,1805863,102079
concept	2019,1803881,123974
science	2019,1786595,132144
feeling	2019,1733207,163522
meaning	2019,1729159,156657
reality	2019,1704976,164612
student	2019,1626259,122212
evening	2019,1595158,140781
content	2019,1566048,146153
meeting	2019,1493325,155944
contact	2019,1465787,161833
freedom	2019,1420934,144998
failure	2019,1417283,143293
economy	2019,1398950,92570
picture	2019,1388027,180050
justice	2019,1362679,115509
message	2019,1343719,151704
teacher	2019,1333977,114362
opinion	2019,1300063,150326
kitchen	2019,1276226,111166
variety	2019,1265579,147470
trouble	2019,1205306,153186
silence	2019,1203255,129294
pattern	2019,1198950,137543
village	2019,1175932,99615
version	2019,1170643,144450
therapy	2019,1151307,49790
concern	2019,1132530,151977
machine	2019,1097404,122470
balance	2019,1086211,149601
element	2019,1066705,128594
journey	2019,1029596,141245
article	2019,1025552,118044
attempt	2019,1024019,157292
officer	2019,1010822,97079
protein	2019,1010593,29995
measure	2019,999270,139866
station	2019,992542,119165
absence	2019,978825,145834
reading	2019,963680,139017
writing	2019,961553,136634
climate	2019,954953,87753
passage	2019,952305,119329
mission	2019,951831,120627
college	2019,948521,104839
command	2019,941276,112612
feature	2019,926975,116927
present	2019,897600,154930
outcome	2019,849999,115315
